municipality_name,gadm_id,province,area_sqkm,has_zone,zone_count,total_zone_area_ha,has_manufacturing,has_agro,earliest_op_date,pop_density_mean_2020,pop_total_2020,nightlights_mean_2018,nightlights_median_2018,builtup_fraction_2020,dist_nearest_airport_km,dist_nearest_primary_road_km
Bangued,PHL.1.1_1,Abra,123.64279295323622,0,0,0,FALSE,FALSE,NA,248.0308837890625,37593.765625,0.13873018324375153,0.1268956782454753,0.013468052734375,64.10345367364341,1.204237057684762
Boliney,PHL.1.2_1,Abra,182.62859428653383,0,0,0,FALSE,FALSE,NA,33.71143341064453,7538.6875,0,0,4.718137512207031e-4,95.01689628705472,17.267922003014707
Bucay,PHL.1.3_1,Abra,104.37939071481578,0,0,0,FALSE,FALSE,NA,158.64932250976562,20292.091796875,0.0230871494859457,0.10744014854392545,0.00498831787109375,74.98777348870352,7.996556185265668
Bucloc,PHL.1.4_1,Abra,51.2673078951041,0,0,0,FALSE,FALSE,NA,31.699981689453125,1990.58984375,0,0,0.0010278790283203124,88.24528790568341,14.006262213499483
Daguioman,PHL.1.5_1,Abra,97.26907317002782,0,0,0,FALSE,FALSE,NA,10.867527961730957,1294.851806640625,0.008253894746303558,0.06717124552794608,5.48593017578125e-4,85.65843423914897,6.183040862091579
Danglas,PHL.1.6_1,Abra,175.56030396705708,0,0,0,FALSE,FALSE,NA,14.843696594238281,3197.11962890625,0.007037621922791004,0.09576473847174657,5.513692626953125e-4,48.63884595102493,4.12870573470242
Dolores,PHL.1.7_1,Abra,44.86204959487102,0,0,0,FALSE,FALSE,NA,263.3883972167969,14489.1201171875,0.07294883579015732,0.11685212502976215,0.00730282958984375,61.79147167924723,2.206750455431806
La Paz,PHL.1.8_1,Abra,55.14528331831904,0,0,0,FALSE,FALSE,NA,228.69747924804688,15465.5673828125,0.12288215756416321,0.1150659306552817,0.00801890576171875,58.238605058651046,0.4040944369061515
Lacub,PHL.1.9_1,Abra,258.9457342001866,0,0,0,FALSE,FALSE,NA,8.79867172241211,2794.481689453125,0,0,2.209351043701172e-4,71.17501763064881,13.554461456904654
Lagangilang,PHL.1.10_1,Abra,91.47800826391203,0,0,0,FALSE,FALSE,NA,134.0984344482422,15040.6796875,0.02249423786997795,0.11685916243075148,0.0045141787109375,65.58564002301439,4.260429447155105
Lagayan,PHL.1.11_1,Abra,144.09075682585922,0,0,0,FALSE,FALSE,NA,32.11402130126953,5678.1875,0.004476762376725674,0.0807338394611316,7.46326904296875e-4,48.16579450936206,4.454225679085354
Langiden,PHL.1.12_1,Abra,98.6133408848916,0,0,0,FALSE,FALSE,NA,28.318374633789062,3423.526611328125,0.0024983014445751905,0.10497280919840812,8.61359375e-4,62.054022766416175,7.035184299697955
Licuan-Baay,PHL.1.13_1,Abra,305.5136692741065,0,0,0,FALSE,FALSE,NA,25.06890296936035,9387.56640625,0.0013736338587477803,0.08801686134874702,3.7252264404296877e-4,76.68509506248726,1.2332881581446118
Luba,PHL.1.14_1,Abra,126.47937918799192,0,0,0,FALSE,FALSE,NA,41.63335037231445,6445.7568359375,3.191122377756983e-4,0.09881116449832916,0.0020134915771484376,90.71744285712208,12.946959816221147
Malibcong,PHL.1.15_1,Abra,241.79304609500238,0,0,0,FALSE,FALSE,NA,19.471879959106445,5771.4716796875,0,0,4.1586764526367186e-4,75.13186416369531,8.765181052542307
