zone_name,latitude,longitude,area_hectares,zone_type,operational_date,developer,location_text,region,coordinate_source,data_source
Tabangao Special Economic Zone,13.787972,120.987344,86,manufacturing,2008,"Shellgas Philippines, Inc.","Tabangao,  Batangas",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Taganito Special Economic Zone,13.787972,120.987344,687.50942,manufacturing,2008,Taganito Mining Corporation,"Barangays Cagdianao, Hayanggabon, and Taganito, Municipality of Claver, Province of Surigao Del Norte",CARAGA,world_bank_ciip,PEZA 1.xls + World Bank
TECO Industrial Park,15.23537,120.609589,139.8666,manufacturing,2004,TIPCO Estates Corporation,"Bundagul and Paralayunan, Mabalacat, Pampanga",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
Toyota Sta. Rosa (Laguna)  SEZ,14.27319,121.077532,81.67,manufacturing,1995,Toyota Motors Philippines Corporation,"Pulong Sta. Cruz, Sta. Rosa City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
UPLB Agro-Industial Park,15.112433,120.60069,69.9998,agro-industrial (proclaimed),2000,University of the Philippines Los Baños,"University of the Philippines, Los Baños, Laguna",NA,world_bank_ciip,PEZA 3.xls (proclaimed) + World Bank
Valencia Special Economic Zone,14.770285,121.067748,4.3252,agro-industrial,1995,"Municipal Government of Valencia, Negros Oriental","Barangay Palinpinon, Municipality of Valencia, Province of Negros Oriental",NA,world_bank_ciip,PEZA 3.xls (operating) + World Bank
Victoria Wave Special Economic Zone,14.770285,121.067748,50,manufacturing,1995,"Victoria Wave Ltd., Inc.","Malaria, Caloocan City",NCR (6),world_bank_ciip,PEZA 1.xls + World Bank
West Cebu Industrial Park,10.474875,123.694197,169.9214,manufacturing,1998,"Cebu Industrial Park Developers, Inc.","Arpili & Bunoy, Balamban, Cebu",REGION VII,world_bank_ciip,PEZA 1.xls + World Bank
YTMI Realty Special Economic Zone,14.37432,120.9343,20.6596,manufacturing,2002,YTMI Realty Corporation,"Brgy. Makiling, Calamba City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Zamboanga City Special Economic Zone,14.881544,120.224833,NA,freeport,1989,NA,Zamboanga City,Mindanao,world_bank_ciip,Wikipedia + World Bank
