position	name	type	varlab
79	sIIIq36_elec_main_diecast	str27	Q36 - Process in Main Production that Use Electricity - Die Casting or Wire Bond
80	sIIIq36_elec_main_dry	str84	Q36 - Process in Main Production that Use Electricity - Drying or Annealing
81	sIIIq36_elec_main_engload	str29	Q36 - Process in Main Production that Use Electricity - Engine Loading or Prep
82	sIIIq36_elec_main_fabri	str11	Q36 - Process in Main Production that Use Electricity - Fabrication
83	sIIIq36_elec_main_fork	str18	Q36 - Process in Main Production that Use Electricity - Forklift Operation
84	sIIIq36_elec_main_heat	str14	Q36 - Process in Main Production that Use Electricity - Heat Treatment
85	sIIIq36_elec_main_ice	str10	Q36 - Process in Main Production that Use Electricity - Ice Making
86	sIIIq36_elec_main_impreg	str12	Q36 - Process in Main Production that Use Electricity - Impregnation
87	sIIIq36_elec_main_machinj	str28	Q36 - Process in Main Production that Use Electricity - Machine Inject or Mold
88	sIIIq36_elec_main_melt	str22	Q36 - Process in Main Production that Use Electricity - Melting or Pre-melting
89	sIIIq36_elec_main_metal	str32	Q36 - Process in Main Production that Use Electricity - Metal Treatment or Pre
90	sIIIq36_elec_main_paint	str8	Q36 - Process in Main Production that Use Electricity - Painting
91	sIIIq36_elec_main_power	str16	Q36 - Process in Main Production that Use Electricity - Power Generation
92	sIIIq36_elec_main_smelt	str8	Q36 - Process in Main Production that Use Electricity - Smelting
93	sIIIq36_elec_main_standby	str35	Q36 - Process in Main Production that Use Electricity - Standby or Back-up Power
94	sIIIq36_elec_main_steel	str13	Q36 - Process in Main Production that Use Electricity - Steel Cutting
95	sIIIq36_elec_main_thermoxi	byte	Q36 - Process in Main Production that Use Electricity - Thermal Oxidaation
96	sIIIq36_elec_main_transpo	str74	Q36 - Process in Main Production that Use Electricity - Transportation and Log
97	sIIIq36_elec_main_weld	str7	Q36 - Process in Main Production that Use Electricity - Welding
98	sIIIq36_elec_main_stamp	str8	Q36 - Process in Main Production that Use Electricity - Stamping
99	sIIIq36_elec_main_aircomp	str27	Q36 - Process in Main Production that Use Electricity - Air Compression / Vacuum
100	sIIIq36_elec_main_other	str71	Q36 - Process in Main Production that Use Electricity - Others
101	sIIIq37_elecconskwh	str17	Q37 - Electricity Consumption in kWh
102	sIIIq38q39_elecconskwh_ave	float	Q38-Q39 - Electricity Consumption in kWh (Average)
103	sIIIq40_elecconsphp	str19	Q40 - Electricity Expenditure in PHP
104	sIIIq41q42_elecconsphp_ave	float	Q41-Q42 - Electricity Expenditure in PHP (Average)
105	sIIIq43_elecratephp	float	Q43 - Electricity Rate in PHP/kWh (Average)
106	sIIIq44_waterconscum	str16	Q44 - Water Consumption in cu.m.
107	sIIIq45q46_waterconscum_ave	float	Q45-Q46 - Water Consumption in cu.m. (Average)
108	sIIIq47_waterconsphp	str17	Q47 - Water Expenditure in PHP
109	sIIIq48q49_waterconsphp_ave	float	Q48-Q49 - Water Expenditure in PHP (Average)
110	sIIIq50_waterratephp	float	Q50 - Water Rate in PHP/cu.m. (Average)
111	sIIIq51_switchconsiprice	byte	Q51 - Consideration in Switching Electricity Provider - Price
112	sIIIq51_switchconsisupply	byte	Q51 - Consideration in Switching Electricity Provider - Supply and Stability
113	sIIIq51_switchconsisafe	byte	Q51 - Consideration in Switching Electricity Provider - Safety and Security
114	sIIIq51_switchconsienvi	byte	Q51 - Consideration in Switching Electricity Provider - Environment
115	sIIIq52_pezaparti	str3	Q52 - Participated in PEZA Activities
116	sIIIq53_peza_awareenms	str3	Q53 - Awareness of PEZA Activities - Energy Management Systems (EnMS) Standards
117	sIIIq53_peza_awaresysopti	str3	"Q53 - Awareness of PEZA Activities - System Optimization (SO) for Steam, Compres"
118	sIIIq53_peza_awarefinan	str3	Q53 - Awareness of PEZA Activities - Financial Opportunities for Energy Efficien
119	sIIIq54_reduc_meas	str3	Q54 - Energy Conservation Measures
120	sIIIq55_reduc_meas_solar	str23	Q55 - Energy Conservation Measures - Installing Solar Panels
121	sIIIq55_reduc_meas_invert	str35	Q55 - Energy Conservation Measures - Using Inverter-type Air Conditioners
122	sIIIq55_reduc_meas_led	str23	Q55 - Energy Conservation Measures - Installing LED Lighting
123	sIIIq55_reduc_meas_other	str215	Q55 - Energy Conservation Measures - Others
124	sIIIq56_reason_noimple_lackfund	byte	Q56 - Reason for Not Implementing Conservation Measures - Lack of Understanding
125	sIIIq56_reason_noimple_lackknow	byte	Q56 - Reason for Not Implementing Conservation Measures - Lack of Tech Know
126	sIIIq56_reason_noimple_lackres	byte	Q56 - Reason for Not Implementing Conservation Measures - Lack of Resources
127	sIIIq56_reason_noimple_notprio	byte	Q56 - Reason for Not Implementing Conservation Measures - Not a Priority
128	sIIIq56_reason_noimple_noeffect	byte	Q56 - Reason for Not Implementing Conservation Measures - No Perceived Effect
129	sIVq57_fueluse	float	Q57 - Fuel Use (at least one fuel)
130	sIVq58_fuelmix_biodiesel	byte	Q58 - Share of Biodiesel in Production Fuel Mix
131	sIVq58_fuelmix_bunker	byte	Q58 - Share of Bunker in Production Fuel Mix
132	sIVq58_fuelmix_coal	byte	Q58 - Share of Coal in Production Fuel Mix
